Tick	Time	TriggerCode	Block	Trial	GazeDirX	GazeDirY	GazeDirZ	HeadPosX	HeadPosY	HeadPosZ	HeadDirX	HeadDirY	HeadDirZ	EyeOpenL	EyeOpenR	PupilDiaL	PupilDiaR	PupilSensorLx	PupilSensorLy	PupilSensorRx	PupilSensorRy	PositionLx	PositionLy	PositionRx	PositionRy	GazeAngleX	GazeAngleY	HeadAngleX	HeadAngleY	ViewGazeX	ViewGazeY	ViewGazeZ	ViewFixX	ViewFixY	ViewFixZ	HandRPosX	HandRPosY	HandRPosZ	HandRDirX	HandRDirY	HandRDirZ	FixationPointX	FixationPointY	FixationPointZ
465	41092	0	1	1	0.0239532	-0.04103707	0.9988555	-0.05033743	1.672659	-0.07502282	0.04215955	-0.005178566	0.9990975	1	1	2.846252	2.949249	0.4502793	0.4601207	0.4631034	0.4716862	0.4502793	0.4601207	0.4631034	0.4716862	1.373731	-2.352601	2.416299	-0.2967354	0.9128789	-6.342335	0.0857393	0.4934516	0.4846343	2.075794	-0.0130139	1.179766	0.1240489	-0.05106781	0.03373373	0.9981253	0.050603	1.501438	4.501385
466	41103	0	1	1	0.02394924	-0.04104304	0.9988553	-0.05030304	1.672657	-0.07512355	0.04237935	-0.005025143	0.9990889	1	1	2.846252	2.949249	0.4502793	0.4601207	0.4631034	0.4716862	0.4502793	0.4601207	0.4631034	0.4716862	1.373446	-2.352934	2.428902	-0.2880355	0.9138525	-6.354113	0.08559227	0.4933616	0.4845788	2.075871	-0.01357442	1.179735	0.1232526	-0.05382929	0.03514794	0.9979314	0.05163521	1.502145	4.501292
467	41114	0	1	1	0.02535437	-0.04101133	0.9988359	-0.05025935	1.67266	-0.07510746	0.04220706	-0.005061267	0.999096	1	1	2.845978	2.938644	0.450635	0.4601207	0.4629792	0.4716862	0.450635	0.4601207	0.4629792	0.4716862	1.454142	-2.351269	2.41897	-0.2900664	0.9152402	-6.351283	0.08562663	0.4934241	0.4845909	2.075862	-0.01423091	1.179676	0.1226392	-0.05750014	0.03800948	0.9976217	0.04081638	1.52615	3.868949
468	41126	0	1	1	0.02634269	-0.04125766	0.9987887	-0.05020154	1.672661	-0.07517147	0.0423038	-0.005152424	0.9990915	1	1	2.842484	2.938416	0.4509555	0.4601207	0.4628973	0.4717189	0.4509555	0.4601207	0.4628973	0.4717189	1.510772	-2.365378	2.424547	-0.2954137	0.9140351	-6.333814	0.08584515	0.4933746	0.484622	2.075928	-0.0147866	1.179438	0.1217294	-0.06140793	0.04100226	0.9972702	0.03439939	1.542545	3.430075
469	41137	0	1	1	0.0264385	-0.04134839	0.9987824	-0.0501554	1.672649	-0.07512391	0.04242776	-0.005187423	0.9990861	1	1	2.842484	2.938416	0.4509555	0.4601207	0.4628973	0.4717189	0.4509555	0.4601207	0.4628973	0.4717189	1.516332	-2.370586	2.431641	-0.2973941	0.9157843	-6.332479	0.08585996	0.493322	0.4846329	2.075877	-0.01552814	1.179575	0.1208466	-0.06581317	0.04621972	0.996761	0.03484984	1.542428	3.430109
470	41148	0	1	1	0.02622447	-0.04164498	0.9987754	-0.05002826	1.672675	-0.07514322	0.04273161	-0.005272079	0.9990727	1	1	2.845703	2.938126	0.4510918	0.4602162	0.4626864	0.4717468	0.4510918	0.4602162	0.4626864	0.4717468	1.504022	-2.387615	2.449045	-0.302612	0.9148968	-6.31905	0.08602978	0.4931801	0.4846545	2.075887	-0.01645583	1.179719	0.1199176	-0.07019342	0.05197881	0.9961783	0.03285348	1.546699	3.263602
471	41159	0	1	1	0.02634261	-0.04331056	0.9987023	-0.04992312	1.672716	-0.07511139	0.04262554	-0.005278845	0.9990772	1	1	2.860977	2.942459	0.4511859	0.4605369	0.4624002	0.4719248	0.4511859	0.4605369	0.4624002	0.4719248	1.511031	-2.483174	2.442964	-0.302612	0.9136803	-6.321629	0.08600007	0.4931999	0.4846509	2.075856	-0.01782107	1.179898	0.1191641	-0.07487185	0.0568723	0.9955701	0.0245216	1.552157	2.978117
472	41170	0	1	1	0.02624844	-0.04307536	0.9987209	-0.04987371	1.672694	-0.0750699	0.04280805	-0.005290589	0.9990693	1	1	2.860367	2.937698	0.4515659	0.460569	0.4622853	0.4719248	0.4515659	0.460569	0.4622853	0.4719248	1.505452	-2.469579	2.453437	-0.3032579	0.9153537	-6.322682	0.08598457	0.4931236	0.4846548	2.075806	-0.01895368	1.180174	0.1180857	-0.0813047	0.061338	0.9948001	0.01979694	1.564544	2.723775
473	41181	0	1	1	0.02642149	-0.04308303	0.998716	-0.04977632	1.672715	-0.07507145	0.04311007	-0.005465187	0.9990554	1	1	2.860367	2.937698	0.4515659	0.460569	0.4622853	0.4719248	0.4515659	0.460569	0.4622853	0.4719248	1.515428	-2.470134	2.470767	-0.3134116	0.9117453	-6.298797	0.08628809	0.4929821	0.4847106	2.075807	-0.02005541	1.180452	0.1169274	-0.09052193	0.06547964	0.9937395	0.02075949	1.564065	2.723732
474	41192	0	1	1	0.02628654	-0.04492777	0.9986338	-0.04970008	1.672718	-0.07505918	0.04338175	-0.005528294	0.9990433	1	1	2.831299	2.909027	0.4523382	0.460741	0.4614405	0.4723929	0.4523382	0.460741	0.4614405	0.4723929	1.50779	-2.575951	2.486403	-0.3171355	0.912102	-6.290659	0.0863907	0.492864	0.4847281	2.075786	-0.02138442	1.180545	0.1158447	-0.09994708	0.06934865	0.9925731	-0.001054466	1.593835	1.927559
475	41203	0	1	1	0.02698895	-0.04356514	0.9986741	-0.04959124	1.672757	-0.07507813	0.0436079	-0.005591966	0.9990331	1	1	2.860977	2.942459	0.4511859	0.4605369	0.4624002	0.4719248	0.4511859	0.4605369	0.4624002	0.4719248	1.548007	-2.497792	2.499359	-0.3202056	0.9112782	-6.280479	0.08652212	0.4927555	0.484741	2.075798	-0.02268064	1.180809	0.1145566	-0.1123288	0.07368033	0.9909356	0.02782762	1.551257	2.978039
476	41214	0	1	1	0.02721303	-0.04362794	0.9986652	-0.04954112	1.672746	-0.07504165	0.043952	-0.005705158	0.9990174	1	1	2.860977	2.942459	0.4511859	0.4605369	0.4624002	0.4719248	0.4511859	0.4605369	0.4624002	0.4719248	1.560849	-2.501472	2.519094	-0.3268584	0.9102584	-6.267373	0.08668861	0.4926109	0.4847786	2.075754	-0.02412891	1.180932	0.1132116	-0.1254094	0.07849617	0.9889948	0.02892727	1.550901	2.978034
477	41225	0	1	1	0.02756354	-0.04349681	0.9986672	-0.04950333	1.672753	-0.07499731	0.04414129	-0.005960266	0.9990075	1	1	2.860367	2.937698	0.4515659	0.460569	0.4622853	0.4719248	0.4515659	0.460569	0.4622853	0.4719248	1.580906	-2.493949	2.529949	-0.3420692	0.9086127	-6.237031	0.08707807	0.4925284	0.4848645	2.075723	-0.02542686	1.181034	0.1119294	-0.1389816	0.0831562	0.9867975	0.02389238	1.562732	2.72368
478	41236	0	1	1	0.02835593	-0.04549163	0.9985527	-0.04944313	1.672754	-0.07493782	0.04452502	-0.006114303	0.9989896	1	1	2.828674	2.908966	0.4526515	0.460741	0.4614595	0.4724052	0.4526515	0.460741	0.4614595	0.4724052	1.626543	-2.60842	2.55198	-0.3505445	0.9061762	-6.220589	0.08729127	0.4923636	0.4849148	2.075659	-0.02669621	1.181	0.1101942	-0.1564365	0.08783731	0.9837745	0.0009179339	1.597167	1.818886
